#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 23.903676 10.777583
0.096352 0.096899 0.310406 0.311286 15.316426 6.797184
0.378840 0.387300 0.615500 0.622334 5.540491 2.452793
0.828215 0.868645 0.910063 0.932011 2.253113 0.996577
1.413852 1.531673 1.189055 1.237608 1.039694 0.459920
2.095840 2.354739 1.447702 1.534516 0.530295 0.234715
2.827704 3.298987 1.681578 1.816311 0.322206 0.142553
3.559567 4.306376 1.886681 2.075181 0.236604 0.104580
4.241555 5.301944 2.059504 2.302595 0.174893 0.077328
4.827192 6.200614 2.197087 2.490103 0.155926 0.068957
5.276567 6.917601 2.297078 2.630133 0.124550 0.055068
5.559055 7.380504 2.357765 2.716708 0.126635 0.055977
5.655407 7.540543 2.378110 2.746005 0.111857 0.049914
