#p^2, p^2(melhorado)i, p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 32.194846 1.962604
0.068148 0.068535 0.261052 0.261793 20.560261 1.036756
0.267949 0.273932 0.517638 0.523385 9.212719 0.469926
0.585786 0.614382 0.765367 0.783825 3.295218 0.146784
1.000000 1.083333 1.000000 1.040833 1.573794 0.066106
1.482362 1.665478 1.217523 1.290534 0.822543 0.039318
2.000000 2.333333 1.414214 1.527525 0.500095 0.020574
2.517638 3.045847 1.586707 1.745235 0.343825 0.015907
3.000000 3.750000 1.732051 1.936492 0.264121 0.010634
3.414214 4.385618 1.847759 2.094187 0.204660 0.009456
3.732051 4.892734 1.931852 2.211953 0.188741 0.008835
3.931852 5.220140 1.982890 2.284763 0.175568 0.007826
4.000000 5.333333 2.000000 2.309401 0.181681 0.011558
