#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 2.379848 1.049946
0.096352 0.096899 0.310406 0.311286 2.347145 1.035487
0.378840 0.387300 0.615500 0.622334 1.716110 0.756903
0.828215 0.868645 0.910063 0.932011 1.153838 0.508979
1.413852 1.531673 1.189055 1.237608 0.673134 0.296930
2.095840 2.354739 1.447702 1.534516 0.410010 0.180782
2.827704 3.298987 1.681578 1.816311 0.286632 0.126404
3.559567 4.306376 1.886681 2.075181 0.209399 0.092367
4.241555 5.301944 2.059504 2.302595 0.162831 0.071832
4.827192 6.200614 2.197087 2.490103 0.138247 0.061000
5.276567 6.917601 2.297078 2.630133 0.125441 0.055364
5.559055 7.380504 2.357765 2.716708 0.118188 0.052134
5.655407 7.540543 2.378110 2.746005 0.120326 0.053289
