#p^2, p^2(melhorado), p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 8.972284 0.284186
0.068148 0.068535 0.261052 0.261793 6.777983 0.218438
0.267949 0.273932 0.517638 0.523385 3.224802 0.100201
0.585786 0.614382 0.765367 0.783825 1.449514 0.048080
1.000000 1.083333 1.000000 1.040833 0.742452 0.023466
1.482362 1.665478 1.217523 1.290534 0.453178 0.014050
2.000000 2.333333 1.414214 1.527525 0.312621 0.009574
2.517638 3.045847 1.586707 1.745235 0.238144 0.007547
3.000000 3.750000 1.732051 1.936492 0.186575 0.005825
3.414214 4.385618 1.847759 2.094187 0.159755 0.005186
3.732051 4.892734 1.931852 2.211953 0.145552 0.004415
3.931852 5.220140 1.982890 2.284763 0.135973 0.004629
4.000000 5.333333 2.000000 2.309401 0.132645 0.006333
